Store,Dept,Date,Weekly_Sales,IsHoliday
1,1,2010-02-05,25037.08,0
1,1,2010-02-12,46247.44,1
1,1,2010-02-19,41783.43,0
1,1,2010-02-26,19491.18,0
1,1,2010-03-05,21926.49,0
1,1,2010-03-12,21138.44,0
1,1,2010-03-19,22236.62,0
1,1,2010-03-26,26347.68,0
1,1,2010-04-02,57517.05,0
1,1,2010-04-09,43154.95,0
1,1,2010-04-16,17676.44,0
1,1,2010-04-23,16218.27,0
1,1,2010-04-30,16629.88,0
1,1,2010-05-07,17492.59,0
1,1,2010-05-14,19012.23,0
1,1,2010-05-21,14839.77,0
1,1,2010-05-28,15650.8,0
1,1,2010-06-04,17637.39,0
1,1,2010-06-11,16712.77,0
1,1,2010-06-18,16289.51,0
1,1,2010-06-25,16402.47,0
1,1,2010-07-02,16406.91,0
1,1,2010-07-09,17768.66,0
1,1,2010-07-16,17228.31,0
1,1,2010-07-23,15429.83,0
1,1,2010-07-30,15451.3,0
1,1,2010-08-06,17587.49,0
1,1,2010-08-13,15606.57,0
1,1,2010-08-20,15811.22,0
1,1,2010-08-27,15865.21,0
1,1,2010-09-03,16315.14,0
1,1,2010-09-10,18276.92,1
1,1,2010-09-17,19441.65,0
1,1,2010-09-24,18204.37,0
1,1,2010-10-01,20184.95,0
1,1,2010-10-08,23493.67,0
1,1,2010-10-15,27100.19,0
1,1,2010-10-22,25658.41,0
1,1,2010-10-29,38815.46,0
1,1,2010-11-05,34393.53,0
1,1,2010-11-12,19637.69,0
1,1,2010-11-19,19641.15,0
1,1,2010-11-26,18905.3,1
1,1,2010-12-03,22619.27,0
1,1,2010-12-10,31639.92,0
1,1,2010-12-17,45115.72,0
1,1,2010-12-24,56183.86,0
1,1,2010-12-31,19210.96,1
1,1,2011-01-07,16056.44,0
1,1,2011-01-14,17438.11,0
1,1,2011-01-21,17419.8,0
1,1,2011-01-28,18544.56,0
1,1,2011-02-04,21763.62,0
1,1,2011-02-11,38058.3,1
1,1,2011-02-18,47057.46,0
1,1,2011-02-25,19451.29,0
1,1,2011-03-04,20419.42,0
1,1,2011-03-11,21376.52,0
1,1,2011-03-18,20426.07,0
1,1,2011-03-25,20975.41,0
1,1,2011-04-01,20490.22,0
1,1,2011-04-08,23981.62,0
1,1,2011-04-15,28892.28,0
1,1,2011-04-22,50738.45,0
1,1,2011-04-29,41699.89,0
1,1,2011-05-06,20229.15,0
1,1,2011-05-13,17313.0,0
1,1,2011-05-20,15205.15,0
1,1,2011-05-27,15812.7,0
1,1,2011-06-03,16508.38,0
1,1,2011-06-10,15955.26,0
1,1,2011-06-17,15045.74,0
1,1,2011-06-24,15753.64,0
1,1,2011-07-01,15432.89,0
1,1,2011-07-08,16221.81,0
1,1,2011-07-15,15725.56,0
1,1,2011-07-22,15837.81,0
1,1,2011-07-29,15994.33,0
1,1,2011-08-05,15364.64,0
1,1,2011-08-12,14605.46,0
1,1,2011-08-19,14755.59,0
1,1,2011-08-26,14603.03,0
1,1,2011-09-02,15346.27,0
1,1,2011-09-09,17826.84,1
1,1,2011-09-16,18619.2,0
1,1,2011-09-23,17939.97,0
1,1,2011-09-30,18420.51,0
1,1,2011-10-07,20891.52,0
1,1,2011-10-14,23181.78,0
1,1,2011-10-21,23457.27,0
1,1,2011-10-28,31722.54,0
1,1,2011-11-04,40066.21,0
1,1,2011-11-11,18773.96,0
1,1,2011-11-18,19136.71,0
1,1,2011-11-25,21005.7,1
1,1,2011-12-02,25407.73,0
1,1,2011-12-09,33456.35,0
1,1,2011-12-16,45979.77,0
1,1,2011-12-23,47000.08,0
1,1,2011-12-30,23456.35,1
1,1,2012-01-06,16642.52,0
1,1,2012-01-13,16970.71,0
1,1,2012-01-20,18448.05,0
1,1,2012-01-27,18461.17,0
1,1,2012-02-03,23616.68,0
1,1,2012-02-10,37155.56,1
1,1,2012-02-17,54304.27,0
1,1,2012-02-24,20215.12,0
1,1,2012-03-02,20203.87,0
1,1,2012-03-09,21235.55,0
1,1,2012-03-16,22467.9,0
1,1,2012-03-23,22207.55,0
1,1,2012-03-30,29083.63,0
1,1,2012-04-06,57852.25,0
1,1,2012-04-13,34840.87,0
1,1,2012-04-20,17052.87,0
1,1,2012-04-27,16421.44,0
1,2,2010-02-05,50833.84,0
1,2,2010-02-12,44884.56,1
1,2,2010-02-19,48145.37,0
1,2,2010-02-26,44492.93,0
1,2,2010-03-05,48616.58,0
1,2,2010-03-12,43949.55,0
1,2,2010-03-19,43812.49,0
1,2,2010-03-26,42081.77,0
1,2,2010-04-02,47664.82,0
1,2,2010-04-09,46759.98,0
1,2,2010-04-16,45228.39,0
1,2,2010-04-23,44618.73,0
1,2,2010-04-30,46178.94,0
1,2,2010-05-07,48119.37,0
1,2,2010-05-14,43872.88,0
1,2,2010-05-21,44519.33,0
1,2,2010-05-28,44821.05,0
1,2,2010-06-04,48974.68,0
1,2,2010-06-11,47302.23,0
1,2,2010-06-18,44629.38,0
1,2,2010-06-25,45504.53,0
1,2,2010-07-02,47290.36,0
1,2,2010-07-09,46963.29,0
1,2,2010-07-16,44539.47,0
1,2,2010-07-23,44965.51,0
1,2,2010-07-30,46040.79,0
1,2,2010-08-06,50257.71,0
1,2,2010-08-13,45681.09,0
1,2,2010-08-20,49978.9,0
1,2,2010-08-27,49847.67,0
1,2,2010-09-03,49236.44,0
1,2,2010-09-10,45386.58,1
1,2,2010-09-17,44883.45,0
1,2,2010-09-24,42669.35,0
1,2,2010-10-01,46036.02,0
1,2,2010-10-08,46597.06,0
1,2,2010-10-15,43305.51,0
1,2,2010-10-22,42562.86,0
1,2,2010-10-29,44280.43,0
1,2,2010-11-05,46590.92,0
1,2,2010-11-12,43389.59,0
1,2,2010-11-19,41630.44,0
1,2,2010-11-26,45888.31,1
1,2,2010-12-03,44605.58,0
1,2,2010-12-10,47167.91,0
1,2,2010-12-17,49525.97,0
1,2,2010-12-24,60159.82,0
1,2,2010-12-31,35981.62,1
1,2,2011-01-07,43397.42,0
1,2,2011-01-14,40037.42,0
1,2,2011-01-21,41784.87,0
1,2,2011-01-28,41839.14,0
1,2,2011-02-04,47040.63,0
1,2,2011-02-11,47810.32,1
1,2,2011-02-18,49424.29,0
1,2,2011-02-25,46373.77,0
1,2,2011-03-04,53275.09,0
1,2,2011-03-11,48684.63,0
1,2,2011-03-18,45426.56,0
1,2,2011-03-25,44493.6,0
1,2,2011-04-01,47203.83,0
